Log Start: [17:13:54]
Rule (75): «indoor»«energi_consumpt»
Rule (75): «indoor»«energi_consumpt»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (76): «energi_consumpt»«indoor»
Rule (76): «energi_consumpt»«indoor»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (77): «indoor»«hvac»
Rule (77): «indoor»«hvac»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (78): «hvac»«indoor»
Rule (78): «hvac»«indoor»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (79): «indoor»«cool»
Rule (79): «indoor»«cool»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (80): «cool»«indoor»
Rule (80): «cool»«indoor»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (81): «heat»«energi_consumpt»
Rule (81): «heat»«energi_consumpt»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (82): «energi_consumpt»«heat»
Rule (82): «energi_consumpt»«heat»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (83): «heat»«hvac»
Rule (83): «heat»«hvac»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (84): «hvac»«heat»
Rule (84): «hvac»«heat»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (85): «heat»«cool»
Rule (85): «heat»«cool»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (86): «cool»«heat»
Rule (86): «cool»«heat»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (87): «energi_consumpt»«electr»
Rule (87): «energi_consumpt»«electr»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (88): «electr»«energi_consumpt»
Rule (88): «electr»«energi_consumpt»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (89): «energi_consumpt»«oper»
Rule (89): «energi_consumpt»«oper»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (90): «oper»«energi_consumpt»
Rule (90): «oper»«energi_consumpt»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (91): «energi_consumpt»«hvac»
Rule (91): «energi_consumpt»«hvac»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (92): «hvac»«energi_consumpt»
Rule (92): «hvac»«energi_consumpt»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (93): «energi_consumpt»«cool»
Rule (93): «energi_consumpt»«cool»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (94): «cool»«energi_consumpt»
Rule (94): «cool»«energi_consumpt»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (95): «electr»«power»
Rule (95): «electr»«power»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (96): «power»«electr»
Rule (96): «power»«electr»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (97): «wast_manag»«plan»
Rule (97): «wast_manag»«plan»«8888.0000»«-0.2000»«5.0000»«1.0000»«0.1600»«0.2000»«1.0000»
Rule (98): «plan»«wast_manag»
Rule (98): «plan»«wast_manag»«8888.0000»«-0.2000»«5.0000»«1.0000»«0.1600»«0.2000»«1.0000»
Rule (99): «hvac»«cool»
Rule (99): «hvac»«cool»«8888.0000»«-0.2000»«5.0000»«1.0000»«0.1600»«0.2000»«1.0000»
Rule (100): «cool»«hvac»
Rule (100): «cool»«hvac»«8888.0000»«-0.2000»«5.0000»«1.0000»«0.1600»«0.2000»«1.0000»
Rule (101): «coat_materi»«coat»
Rule (101): «coat_materi»«coat»«8888.0000»«-0.2000»«5.0000»«1.0000»«0.1600»«0.2000»«1.0000»
Rule (102): «coat»«coat_materi»
Rule (102): «coat»«coat_materi»«8888.0000»«-0.2000»«5.0000»«1.0000»«0.1600»«0.2000»«1.0000»
(1) Start: Premise <manag> Conclusion <wast>
(1)Number of words of Ngram1
ngram0:manag;
keywordList»[manager]«ngramsList»manag«equalKeys:1
Added: manager
Added (for manag): <management actor>
Added (for manag): <personnel resources manager>
Added (for manag): <management manual>
Added (for manag): <middle management actor>
Added (for manag): <executive management actor>
Added (for manag): <maintenance management manual>
Added (for manag): <manager>
Added (for manag): <information management facility>
Added (for manag): <waste management>
Added (for manag): <middle manager>
Added (for manag): <energy management facility>
